,Provincia,Partido,Localidad,Hasta 30 mbps,de_30_a_50_mbps,de_50_a_80_mbps,de_80_a_100_mbps
0,Buenos aires,25 de Mayo,25 de Mayo,2101.134,37.0,9.0,0.0
1,Buenos aires,25 de Mayo,Agustín Mosconi,58.0,0.0,0.0,0.0
2,Buenos aires,25 de Mayo,Del Valle,192.0,0.0,0.0,0.0
3,Buenos aires,25 de Mayo,Ernestina,66.0,0.0,0.0,0.0
4,Buenos aires,25 de Mayo,Gobernador Ugarte,180.0,0.0,1.0,0.0
5,Buenos aires,25 de Mayo,Lucas Monteverde,6.0,0.0,0.0,0.0
6,Buenos aires,25 de Mayo,Norberto de la Riestra,1281.0,1.0,0.0,0.0
7,Buenos aires,25 de Mayo,Pedernales,575.0,0.0,0.0,0.0
8,Buenos aires,25 de Mayo,San Enrique,103.0,0.0,0.0,0.0
9,Buenos aires,25 de Mayo,Valdés,166.0,0.0,0.0,0.0
10,Buenos aires,9 de Julio,12 de Octubre,11.0,0.0,0.0,0.0
11,Buenos aires,9 de Julio,9 de Julio,1006.6960000000001,1.816,0.0,1.343
12,Buenos aires,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),510.0,0.0,0.0,0.0
13,Buenos aires,9 de Julio,Dudignac,378.0,0.0,0.0,0.0
14,Buenos aires,9 de Julio,Manuel B. Gonnet  (Est. French),203.0,0.0,0.0,0.0
15,Buenos aires,9 de Julio,Patricios,76.0,0.0,0.0,0.0
16,Buenos aires,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),121.0,0.0,0.0,0.0
17,Buenos aires,Adolfo Alsina,Carhué,953.231,266.0,31.0,3.0
18,Buenos aires,Adolfo Alsina,Colonia San Miguel Arcángel,198.0,0.0,0.0,0.0
19,Buenos aires,Adolfo Alsina,Esteban Agustín Gascón,58.0,0.0,0.0,0.0
20,Buenos aires,Adolfo Alsina,Maza,396.0,0.0,0.0,0.0
21,Buenos aires,Adolfo Alsina,Rivera,24.155,0.0,0.0,0.0
22,Buenos aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),721.045,1.0,0.0,0.0
23,Buenos aires,Adolfo Gonzales Chaves,De la Garma,689.0,0.0,0.0,0.0
24,Buenos aires,Adolfo Gonzales Chaves,Juan E. Barra,45.0,0.0,0.0,0.0
25,Buenos aires,Adolfo Gonzales Chaves,Vásquez,14.0,0.0,0.0,0.0
26,Buenos aires,Alberti,Alberti   (Est. Andrés Vaccarezza),481.0,0.0,0.0,1.0
27,Buenos aires,Alberti,Mechita,285.0,0.0,0.0,0.0
28,Buenos aires,Almirante Brown,Adrogué,1117.0,2.602,1059.0,3.36
29,Buenos aires,Almirante Brown,Burzaco,703.146,1.612,888.708,5.258
30,Buenos aires,Almirante Brown,Claypole,622.0,452.0,461.09,2.381
31,Buenos aires,Almirante Brown,Don Orione,445.0,17.0,421.828,1.166
32,Buenos aires,Almirante Brown,Glew,588.0,646.0,754.731,1.52
33,Buenos aires,Almirante Brown,Jose Mármol,626.0,982.0,356.425,2.432
34,Buenos aires,Almirante Brown,Longchamps,794.0,973.0,656.346,2.863
35,Buenos aires,Almirante Brown,Malvinas Argentinas,234.0,373.0,324.501,1.729
36,Buenos aires,Almirante Brown,Ministro Rivadavia,315.0,59.0,268.261,820.0
37,Buenos aires,Almirante Brown,Rafael Calzada,1332.0,746.0,652.788,3.221
38,Buenos aires,Almirante Brown,San Francisco Solano,348.0,76.0,285.387,1.278
39,Buenos aires,Almirante Brown,San Jose,742.0,294.0,689.134,2.341
40,Buenos aires,AMBA,Otros,13.0,0.0,0.0,0.0
41,Buenos aires,Arrecifes,Arrecifes,1855.383,1.513,0.0,567.0
42,Buenos aires,Arrecifes,Todd,230.0,61.0,0.0,13.0
43,Buenos aires,Arrecifes,Viña,110.0,0.0,0.0,0.0
44,Buenos aires,Avellaneda,Avellaneda,2352.0,4.442,886.0,4.193
45,Buenos aires,Avellaneda,Crucesita,417.0,3.171,614.0,2.438
46,Buenos aires,Avellaneda,Dock Sud,674.0,1.32,251.0,615.0
47,Buenos aires,Avellaneda,Gerli,608.0,4.408,1018.0,3.06
48,Buenos aires,Avellaneda,Pineyro,528.0,3.796,878.0,2.824
49,Buenos aires,Avellaneda,Sarandí,1348.604,8.185,314.295,5.422
50,Buenos aires,Avellaneda,Villa Domínico,1031.0,6.591,425.911,4.075
51,Buenos aires,Avellaneda,Wilde,1541.663,9.668,444.811,6.528
52,Buenos aires,Ayacucho,Ayacucho,1008.202,0.0,0.0,0.0
53,Buenos aires,Ayacucho,La Constancia,10.0,0.0,0.0,0.0
54,Buenos aires,Ayacucho,Solanet,27.0,0.0,0.0,0.0
55,Buenos aires,Ayacucho,Udaquiola,46.0,0.0,0.0,0.0
56,Buenos aires,Azul,Azul,4553.0,9.027000000000001,0.0,5.294
57,Buenos aires,Azul,Cacharí,521.0,0.0,0.0,0.0
58,Buenos aires,Azul,Chillar,562.0,0.0,0.0,0.0
59,Buenos aires,Bahía Blanca,Bahía Blanca,3149.16,50.431,59.0,52.04
60,Buenos aires,Bahía Blanca,Cabildo,163.0,0.0,0.0,0.0
61,Buenos aires,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),433.0,767.0,0.0,602.0
62,Buenos aires,Bahía Blanca,Ingeniero White,0.0,0.0,0.0,1.0
63,Buenos aires,Balcarce,Balcarce,2649.0,7.423,0.0,3.23
64,Buenos aires,Balcarce,Los Pinos,34.0,0.0,0.0,0.0
65,Buenos aires,Balcarce,Napaleofú,88.0,0.0,0.0,0.0
66,Buenos aires,Balcarce,Ramos Otero,8.0,0.0,0.0,0.0
67,Buenos aires,Balcarce,San Agustín,51.0,0.0,0.0,0.0
68,Buenos aires,Balcarce,Villa Laguna La Brava,34.0,0.0,0.0,0.0
69,Buenos aires,Baradero,Baradero,1920.0349999999999,4.229,0.0,2.176
70,Buenos aires,Baradero,Irineo Portela,77.0,0.0,0.0,0.0
71,Buenos aires,Baradero,Santa Coloma,53.0,0.0,0.0,0.0
72,Buenos aires,Baradero,Villa Alsina  (Est. Alsina),277.0,0.0,0.0,0.0
73,Buenos aires,Benito Juárez,Barker,99.0,0.0,0.0,0.0
74,Buenos aires,Benito Juárez,Benito Juárez  (Est. Juárez),1462.0,0.0,0.0,0.0
75,Buenos aires,Benito Juárez,López,21.0,0.0,0.0,0.0
76,Buenos aires,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),118.0,0.0,0.0,0.0
77,Buenos aires,Berazategui,Berazategui,1416.422,15.084,948.775,10.267
78,Buenos aires,Berazategui,Berazategui Oeste,197.0,11.327,28.0,3.343
