,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
0,2022,3,Buenos Aires,3618689,4721668,627472,22_3
24,2022,2,Buenos Aires,3535757,4667183,758023,22_2
48,2022,1,Buenos Aires,3381049,4555424,826339,22_1
72,2021,4,Buenos Aires,3259793,4509157,895114,21_4
96,2021,3,Buenos Aires,2482266,4251609,1511462,21_3
120,2021,2,Buenos Aires,2337604,4132351,1541638,21_2
144,2021,1,Buenos Aires,2246313,4060002,1562302,21_1
168,2020,4,Buenos Aires,2176242,4033261,1605760,20_4
288,2019,3,Buenos Aires,1246209,3971683,2245340,19_3
192,2020,3,Buenos Aires,2085815,3937277,1596899,20_3
312,2019,2,Buenos Aires,985767,3870807,2623817,19_2
216,2020,2,Buenos Aires,1894466,3777546,1620511,20_2
336,2019,1,Buenos Aires,705769,3732709,2818060,19_1
240,2020,1,Buenos Aires,1802583,3718747,1465606,20_1
264,2019,4,Buenos Aires,1465133,3686254,1530835,19_4
360,2018,4,Buenos Aires,265386,3636606,3157669,18_4
384,2018,3,Buenos Aires,237248,3609754,2497675,18_3
408,2018,2,Buenos Aires,199589,3502314,2893911,18_2
432,2018,1,Buenos Aires,184203,3471700,2888947,18_1
456,2017,4,Buenos Aires,151747,3188332,2356132,17_4
528,2017,1,Buenos Aires,22299,3186724,2290924,17_1
552,2016,4,Buenos Aires,17279,3138541,2717687,16_4
576,2016,3,Buenos Aires,13318,3121140,2661921,16_3
600,2016,2,Buenos Aires,11933,3108515,2761286,16_2
480,2017,3,Buenos Aires,108400,3028468,2608416,17_3
504,2017,2,Buenos Aires,46178,2976720,2631533,17_2
648,2015,4,Buenos Aires,8180,2888246,2605508,15_4
624,2016,1,Buenos Aires,9529,2875136,2487586,16_1
696,2015,2,Buenos Aires,6712,2857754,2605731,15_2
672,2015,3,Buenos Aires,7720,2856078,2585793,15_3
720,2015,1,Buenos Aires,5700,2754612,2528842,15_1
744,2014,4,Buenos Aires,5406,2705954,2505900,14_4
792,2014,2,Buenos Aires,4309,2659316,2517337,14_2
768,2014,3,Buenos Aires,4232,2647181,2488443,14_3
816,2014,1,Buenos Aires,4037,2624542,2500571,14_1
457,2017,4,Capital Federal,114939,1584238,775777,17_4
481,2017,3,Capital Federal,91917,1575199,752381,17_3
505,2017,2,Capital Federal,37977,1564194,1226251,17_2
1,2022,3,Capital Federal,1253105,1547679,125921,22_3
25,2022,2,Capital Federal,1229254,1536771,128747,22_2
289,2019,3,Capital Federal,655108,1442810,671026,19_3
49,2022,1,Capital Federal,1188072,1417541,155105,22_1
97,2021,3,Capital Federal,1075229,1413405,279245,21_3
73,2021,4,Capital Federal,1147939,1412119,187348,21_4
337,2019,1,Capital Federal,283463,1401583,987779,19_1
121,2021,2,Capital Federal,1037752,1400355,297042,21_2
385,2018,3,Capital Federal,165055,1394490,709321,18_3
361,2018,4,Capital Federal,186810,1389020,1059567,18_4
145,2021,1,Capital Federal,1003041,1379673,303164,21_1
169,2020,4,Capital Federal,1000073,1379530,304477,20_4
193,2020,3,Capital Federal,977766,1372675,314763,20_3
409,2018,2,Capital Federal,142253,1371167,1010405,18_2
433,2018,1,Capital Federal,127384,1368594,1019274,18_1
265,2019,4,Capital Federal,753805,1358105,311751,19_4
217,2020,2,Capital Federal,935481,1357821,260108,20_2
241,2020,1,Capital Federal,906009,1354054,350975,20_1
649,2015,4,Capital Federal,10899,1350450,1167520,15_4
697,2015,2,Capital Federal,9258,1346690,1188862,15_2
673,2015,3,Capital Federal,10022,1341574,1127529,15_3
721,2015,1,Capital Federal,8401,1333455,1190903,15_1
745,2014,4,Capital Federal,7997,1331972,1208535,14_4
769,2014,3,Capital Federal,6626,1318799,1218418,14_3
793,2014,2,Capital Federal,6427,1310340,1224708,14_2
625,2016,1,Capital Federal,10838,1303768,1112186,16_1
817,2014,1,Capital Federal,6208,1301081,1232744,14_1
553,2016,4,Capital Federal,16756,1266885,1029059,16_4
529,2017,1,Capital Federal,19881,1262940,1029162,17_1
577,2016,3,Capital Federal,13886,1261686,1051485,16_3
601,2016,2,Capital Federal,13477,1257302,906025,16_2
5,2022,3,Córdoba,650344,1038668,263727,22_3
29,2022,2,Córdoba,619400,1026435,274015,22_2
53,2022,1,Córdoba,577027,1003803,288563,22_1
77,2021,4,Córdoba,538700,986770,305471,21_4
101,2021,3,Córdoba,476459,946788,262134,21_3
125,2021,2,Córdoba,442357,930880,282718,21_2
149,2021,1,Córdoba,402191,910881,361758,21_1
173,2020,4,Córdoba,384169,902701,370773,20_4
20,2022,3,Santa Fe,396352,887810,276873,22_3
44,2022,2,Santa Fe,373888,878859,287218,22_2
68,2022,1,Santa Fe,344170,870479,303716,22_1
197,2020,3,Córdoba,361021,867472,371402,20_3
92,2021,4,Santa Fe,322015,866441,251104,21_4
116,2021,3,Santa Fe,290793,841584,293116,21_3
140,2021,2,Santa Fe,262124,840600,371295,21_2
221,2020,2,Córdoba,325243,836468,297257,20_2
164,2021,1,Santa Fe,236924,826127,373044,21_1
188,2020,4,Santa Fe,226246,820813,379853,20_4
245,2020,1,Córdoba,296875,810924,385337,20_1
269,2019,4,Córdoba,221742,806688,359245,19_4
212,2020,3,Santa Fe,210562,802998,371166,20_3
293,2019,3,Córdoba,157546,782341,511538,19_3
236,2020,2,Santa Fe,189473,777932,374606,20_2
317,2019,2,Córdoba,76053,769793,585019,19_2
284,2019,4,Santa Fe,135576,769169,421739,19_4
